id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
67	el haj (2018)	"<table><tr><td>Authors:</td><td>el haj, mohamad; nandrino, jean louis</td></tr><tr><td>Title:</td><td>seeing life through rose-colored spectacles: autobiographical memory as experienced in korsakoff's syndrome</td></tr><tr><td>Source:</td><td>consciousness and cognition, 60, 9-16</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.concog.2018.02.007	-0.7926	0.1521	1	6	7	1.048	2018	7	1.048
89	el haj (2017)	"<table><tr><td>Authors:</td><td>el haj, mohamad; nandrino, jean louis; coello, yann; miller, ralph; antoine, pascal</td></tr><tr><td>Title:</td><td>source monitoring in korsakoff's syndrome: """"did i touch the toothbrush or did i imagine doing so?""""</td></tr><tr><td>Source:</td><td>cortex, 91, 262-270</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.cortex.2017.02.006	-0.7062	0.1171	1	7	12	0.8543	2017	12	0.8543
213	kessels (2012)	"<table><tr><td>Authors:</td><td>kessels, roy p. c.; kopelman, michael d.</td></tr><tr><td>Title:</td><td>context memory in korsakoff's syndrome</td></tr><tr><td>Source:</td><td>neuropsychology review, 22(2), 117-131</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1007/s11065-012-9202-5	-0.8017	0.216	1	7	45	1.3252	2012	45	1.3252
245	rajah (2010a)	"<table><tr><td>Authors:</td><td>rajah, m. natasha; kromas, michelle; han, jung eun; pruessner, jens c.</td></tr><tr><td>Title:</td><td>group differences in anterior hippocampal volume and in the retrieval of spatial and temporal context memory in healthy young versus older adults</td></tr><tr><td>Source:</td><td>neuropsychologia, 48(14), 4020-4030</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2010.10.010	-0.7161	-0.3556	4	3	52	1.249	2010	52	1.249
246	jenkins (2010)	"<table><tr><td>Authors:</td><td>jenkins, lucas j.; ranganath, charan</td></tr><tr><td>Title:</td><td>prefrontal and medial temporal lobe activity at encoding predicts temporal context memory</td></tr><tr><td>Source:</td><td>journal of neuroscience, 30(46), 15558-15565</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1523/jneurosci.1337-10.2010	-0.7971	-0.2597	4	3	109	2.6181	2010	109	2.6181
247	frenkel (2010)	"<table><tr><td>Authors:</td><td>frenkel, lia; daniel suarez, luis; maldonado, hector; delorenzi, alejandro</td></tr><tr><td>Title:</td><td>angiotensin modulates long-term memory expression but not long-term memory storage in the crab chasmagnathus</td></tr><tr><td>Source:</td><td>neurobiology of learning and memory, 94(4), 509-520</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.nlm.2010.09.003	0.7725	-0.3547	2	10	10	0.2402	2010	10	0.2402
250	duarte (2010)	"<table><tr><td>Authors:</td><td>duarte, audrey; henson, richard n.; knight, robert t.; emery, tina; graham, kim s.</td></tr><tr><td>Title:</td><td>orbito-frontal cortex is necessary for temporal context memory</td></tr><tr><td>Source:</td><td>journal of cognitive neuroscience, 22(8), 1819-1831</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1162/jocn.2009.21316	-0.8124	-0.2057	4	5	48	1.1529	2010	48	1.1529
254	rajah (2010b)	"<table><tr><td>Authors:</td><td>rajah, m. natasha; languay, rafael; valiquette, luc</td></tr><tr><td>Title:</td><td>age-related changes in prefrontal cortex activity are associated with behavioural deficits in both temporal and spatial context memory retrieval in older adults</td></tr><tr><td>Source:</td><td>cortex, 46(4), 535-549</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.cortex.2009.07.006	-0.7019	-0.3306	4	4	58	1.3931	2010	58	1.3931
277	carbo tano (2009)	"<table><tr><td>Authors:</td><td>carbo tano, m.; molina, v. a.; maldonado, h.; pedreira, m. e.</td></tr><tr><td>Title:</td><td>memory consolidation and reconsolidation in an invertebrate model: the role of the gabaergic system</td></tr><tr><td>Source:</td><td>neuroscience, 158(2), 387-401</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.neuroscience.2008.10.039	0.6764	-0.2502	2	10	32	0.8918	2009	32	0.8918
287	pitel (2008)	"<table><tr><td>Authors:</td><td>pitel, anne lise; beaunieux, helene; witkowski, thomas; vabret, francois; de la sayette, vincent; viader, fausto; desgranges, beatrice; eustache, francis</td></tr><tr><td>Title:</td><td>episodic and working memory deficits in alcoholic korsakoff patients: the continuity theory revisited</td></tr><tr><td>Source:</td><td>alcoholism-clinical and experimental research, 32(7), 1229-1241</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1111/j.1530-0277.2008.00677.x	-0.7994	0.1032	1	7	77	1.4037	2008	77	1.4037
296	rajah (2008)	"<table><tr><td>Authors:</td><td>rajah, m. natasha; ames, blaine; d'esposito, mark</td></tr><tr><td>Title:</td><td>prefrontal contributions to domain-general executive control processes during temporal context retrieval</td></tr><tr><td>Source:</td><td>neuropsychologia, 46(4), 1088-1103</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2007.10.023	-0.7368	-0.3027	4	6	44	0.8021	2008	44	0.8021
309	dudukovic (2007)	"<table><tr><td>Authors:</td><td>dudukovic, nicole m.; wagner, anthony d.</td></tr><tr><td>Title:</td><td>goal-dependent modulation of declarative memory: neural correlates of temporal recency decisions and novelty detection</td></tr><tr><td>Source:</td><td>neuropsychologia, 45(11), 2608-2620</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2007.02.025	-0.7042	-0.1479	1	7	61	0.9109	2007	61	0.9109
315	mulligan (2006)	"<table><tr><td>Authors:</td><td>mulligan, neil w.; lozito, jeffrey p.; rosner, zachary a.</td></tr><tr><td>Title:</td><td>generation and context memory</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 32(4), 836-846</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1037/0278-7393.32.4.836	-0.6465	0.0462	1	2	30	0.4954	2006	30	0.4954
316	romano (2006)	"<table><tr><td>Authors:</td><td>romano, arturo; locatelli, fernando; freudenthal, ramiro; merlo, emiliano; feld, mariana; ariel, pablo; lemos, dario; federman, noel; fustinana, maria sol</td></tr><tr><td>Title:</td><td>lessons from a crab: molecular mechanisms in different memory phases of chasmagnathus</td></tr><tr><td>Source:</td><td>biological bulletin, 210(3), 280-288</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.2307/4134564	0.7233	-0.2368	2	9	31	0.5119	2006	31	0.5119
333	merlo (2005)	"<table><tr><td>Authors:</td><td>merlo, e; freudenthal, r; maldonado, c; romano, a</td></tr><tr><td>Title:</td><td>activation of the transcription factor nf-kappa b by retrieval is required for long-term memory reconsolidation</td></tr><tr><td>Source:</td><td>learning & memory, 12(1), 23-29</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1101/lm.82705	0.6961	-0.1911	2	8	77	0.8409	2005	77	0.8409
335	biedenkapp (2004)	"<table><tr><td>Authors:</td><td>biedenkapp, jc; rudy, jw</td></tr><tr><td>Title:</td><td>context memories and reactivation: constraints on the reconsolidation hypothesis</td></tr><tr><td>Source:</td><td>behavioral neuroscience, 118(5), 956-964</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1037/0735-7044.118.5.956	0.7783	0.0838	3	5	79	0.8609	2004	79	0.8609
337	pedreira (2004)	"<table><tr><td>Authors:</td><td>pedreira, me; perez-cuesta, lm; maldonado, h</td></tr><tr><td>Title:</td><td>mismatch between what is expected and what actually occurs triggers memory reconsolidation or extinction</td></tr><tr><td>Source:</td><td>learning & memory, 11(5), 579-585</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1101/lm.76904	0.7801	-0.2586	2	10	233	2.5392	2004	233	2.5392
343	fujii (2004)	"<table><tr><td>Authors:</td><td>fujii, t; suzuki, m; okuda, j; ohtake, h; tanji, k; yamaguchi, k; itoh, m; yamadori, a</td></tr><tr><td>Title:</td><td>neural correlates of context memory with real-world events</td></tr><tr><td>Source:</td><td>neuroimage, 21(4), 1596-1603</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1016/j.neuroimage.2004.01.005	-0.7803	-0.1911	4	4	41	0.4468	2004	41	0.4468
344	matus-amat (2004)	"<table><tr><td>Authors:</td><td>matus-amat, p; higgins, ea; barrientos, rm; rudy, jw</td></tr><tr><td>Title:</td><td>the role of the dorsal hippocampus in the acquisition and retrieval of context memory representations</td></tr><tr><td>Source:</td><td>journal of neuroscience, 24(10), 2431-2439</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1523/jneurosci.1598-03.2004	0.7376	0.1724	3	4	231	2.5174	2004	231	2.5174
351	pedreira (2003)	"<table><tr><td>Authors:</td><td>pedreira, me; maldonado, h</td></tr><tr><td>Title:</td><td>protein synthesis subserves reconsolidation or extinction depending on reminder duration</td></tr><tr><td>Source:</td><td>neuron, 38(6), 863-869</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0896-6273(03)00352-0	0.7541	-0.1714	2	13	303	3.9181	2003	303	3.9181
354	suzuki (2002)	"<table><tr><td>Authors:</td><td>suzuki, m; fujii, t; tsukiura, t; okuda, j; umetsu, a; nagasaka, t; mugikura, s; yanagawa, i; takahashi, s; yamadori, a</td></tr><tr><td>Title:</td><td>neural basis of temporal context memory: a functional mri study</td></tr><tr><td>Source:</td><td>neuroimage, 17(4), 1790-1796</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1006/nimg.2002.1303	-0.7394	-0.2249	4	8	66	0.3096	2002	66	0.3096
355	pedreira (2002)	"<table><tr><td>Authors:</td><td>pedreira, me; perez-cuesta, lm; maldonado, h</td></tr><tr><td>Title:</td><td>reactivation and reconsolidation of long-term memory in the crab chasmagnathus: protein synthesis requirement and mediation by nmda-type glutamatergic receptors</td></tr><tr><td>Source:</td><td>journal of neuroscience, 22(18), 8305-8311</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"		0.7892	-0.204	2	12	159	0.7459	2002	159	0.7459
358	troncoso (2002)	"<table><tr><td>Authors:</td><td>troncoso, j; maldonado, h</td></tr><tr><td>Title:</td><td>two related forms of memory in the crab chasmagnathus are differentially affected by nmda receptor antagonists</td></tr><tr><td>Source:</td><td>pharmacology biochemistry and behavior, 72(1-2), 251-265</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0091-3057(01)00779-1	0.7277	-0.3473	2	10	26	0.122	2002	26	0.122
359	yonelinas (2002)	"<table><tr><td>Authors:</td><td>yonelinas, ap</td></tr><tr><td>Title:</td><td>the nature of recollection and familiarity: a review of 30 years of research</td></tr><tr><td>Source:</td><td>journal of memory and language, 46(3), 441-517</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1006/jmla.2002.2864	-0.6572	-0.0373	1	6	2222	10.4242	2002	2222	10.4242
360	mumby (2002)	"<table><tr><td>Authors:</td><td>mumby, dg; gaskin, s; glenn, mj; schramek, te; lehmann, h</td></tr><tr><td>Title:</td><td>hippocampal damage and exploratory preferences in rats: memory for objects, places, and contexts</td></tr><tr><td>Source:</td><td>learning & memory, 9(2), 49-57</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1101/lm.41302	-0.0143	1.2379	5	0	487	2.2847	2002	487	2.2847
361	downes (2002)	"<table><tr><td>Authors:</td><td>downes, jj; mayes, ar; macdonald, c; hunkin, nm</td></tr><tr><td>Title:</td><td>temporal order memory in patients with korsakoff's syndrome and medial temporal amnesia</td></tr><tr><td>Source:</td><td>neuropsychologia, 40(7), 853-861</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0028-3932(01)00172-5	-0.7891	-0.0693	1	6	38	0.1783	2002	38	0.1783
363	glisky (2001)	"<table><tr><td>Authors:</td><td>glisky, el; rubin, sr; davidson, psr</td></tr><tr><td>Title:</td><td>source memory in older adults: an encoding or retrieval problem?</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 27(5), 1131-1146</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1037//0278-7393.27.5.1131	-0.6976	0.1517	1	4	272	1.8511	2001	272	1.8511
366	mayes (2001)	"<table><tr><td>Authors:</td><td>mayes, ar; isaac, cl; holdstock, js; hunkin, nm; montaldi, d; downes, jj; macdonald, c; cezayirli, e; roberts, jn</td></tr><tr><td>Title:</td><td>memory for single items, word pairs, and temporal order of different kinds in a patient with selective hippocampal lesions</td></tr><tr><td>Source:</td><td>cognitive neuropsychology, 18(2), 97-123</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1080/02643290042000008	-0.6908	-0.0539	1	5	96	0.6533	2001	96	0.6533
373	cabeza (2000)	"<table><tr><td>Authors:</td><td>cabeza, r; anderson, nd; houle, s; mangels, ja; nyberg, l</td></tr><tr><td>Title:</td><td>age-related differences in neural activity during item and temporal-order memory retrieval: a positron emission tomography study</td></tr><tr><td>Source:</td><td>journal of cognitive neuroscience, 12(1), 197-206</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1162/089892900561832	-0.7209	-0.2632	4	8	172	1.636	2000	172	1.636
